employee_id,first_name,last_name,full_name,department,job_title,salary,year,hire_date,location,employment_type
1001,Hannah,Johnson,Hannah Johnson,Engineering,Junior Software Engineer,84135,2021,2020-04-08,San Francisco,Full-time
1001,Hannah,Johnson,Hannah Johnson,Engineering,Junior Software Engineer,77368,2022,2020-04-08,San Francisco,Full-time
1001,Hannah,Johnson,Hannah Johnson,Engineering,Junior Software Engineer,76152,2023,2020-04-08,San Francisco,Full-time
1001,Hannah,Johnson,Hannah Johnson,Engineering,Junior Software Engineer,82616,2024,2020-04-08,San Francisco,Full-time
1002,Michael,Rivera,Michael Rivera,Engineering,Junior Software Engineer,78757,2022,2022-07-08,Chicago,Contract
1002,Michael,Rivera,Michael Rivera,Engineering,Junior Software Engineer,73195,2023,2022-07-08,Chicago,Contract
1002,Michael,Rivera,Michael Rivera,Engineering,Junior Software Engineer,77607,2024,2022-07-08,Chicago,Contract
1003,Nina,Carter,Nina Carter,Engineering,Junior Software Engineer,74606,2021,2020-02-03,Chicago,Full-time
1003,Nina,Carter,Nina Carter,Engineering,Junior Software Engineer,72771,2022,2020-02-03,Chicago,Full-time
1003,Nina,Carter,Nina Carter,Engineering,Junior Software Engineer,79432,2023,2020-02-03,Chicago,Full-time
1003,Nina,Carter,Nina Carter,Engineering,Junior Software Engineer,90350,2024,2020-02-03,Chicago,Full-time
1004,Sam,Green,Sam Green,Engineering,Junior Software Engineer,69521,2022,2022-06-19,San Francisco,Full-time
1004,Sam,Green,Sam Green,Engineering,Junior Software Engineer,70385,2023,2022-06-19,San Francisco,Full-time
1004,Sam,Green,Sam Green,Engineering,Junior Software Engineer,73449,2024,2022-06-19,San Francisco,Full-time
1005,Rachel,Robinson,Rachel Robinson,Engineering,Junior Software Engineer,81194,2021,2020-03-12,Austin,Full-time
1005,Rachel,Robinson,Rachel Robinson,Engineering,Junior Software Engineer,76179,2022,2020-03-12,Austin,Full-time
1005,Rachel,Robinson,Rachel Robinson,Engineering,Junior Software Engineer,88490,2023,2020-03-12,Austin,Full-time
1005,Rachel,Robinson,Rachel Robinson,Engineering,Junior Software Engineer,86015,2024,2020-03-12,Austin,Full-time
1006,Rachel,Green,Rachel Green,Engineering,Junior Software Engineer,66702,2022,2022-04-22,Austin,Full-time
1006,Rachel,Green,Rachel Green,Engineering,Junior Software Engineer,73303,2023,2022-04-22,Austin,Full-time
1006,Rachel,Green,Rachel Green,Engineering,Junior Software Engineer,86422,2024,2022-04-22,Austin,Full-time
1007,Tara,Lee,Tara Lee,Engineering,Junior Software Engineer,73414,2021,2019-11-16,Chicago,Full-time
1007,Tara,Lee,Tara Lee,Engineering,Junior Software Engineer,89957,2022,2019-11-16,Chicago,Full-time
1007,Tara,Lee,Tara Lee,Engineering,Junior Software Engineer,93977,2023,2019-11-16,Chicago,Full-time
1007,Tara,Lee,Tara Lee,Engineering,Junior Software Engineer,95249,2024,2019-11-16,Chicago,Full-time
1008,Ivan,Allen,Ivan Allen,Engineering,Junior Software Engineer,68543,2021,2021-02-25,New York,Full-time
1008,Ivan,Allen,Ivan Allen,Engineering,Junior Software Engineer,79619,2022,2021-02-25,New York,Full-time
1008,Ivan,Allen,Ivan Allen,Engineering,Junior Software Engineer,82370,2023,2021-02-25,New York,Full-time
1008,Ivan,Allen,Ivan Allen,Engineering,Junior Software Engineer,81660,2024,2021-02-25,New York,Full-time
1009,Alice,Baker,Alice Baker,Engineering,Software Engineer,126531,2021,2018-11-18,Boston,Full-time
1009,Alice,Baker,Alice Baker,Engineering,Software Engineer,119009,2022,2018-11-18,Boston,Full-time
1009,Alice,Baker,Alice Baker,Engineering,Software Engineer,129667,2023,2018-11-18,Boston,Full-time
1009,Alice,Baker,Alice Baker,Engineering,Software Engineer,171682,2024,2018-11-18,Boston,Full-time
1010,Will,Lopez,Will Lopez,Engineering,Software Engineer,107260,2022,2022-02-28,Seattle,Full-time
1010,Will,Lopez,Will Lopez,Engineering,Software Engineer,108624,2023,2022-02-28,Seattle,Full-time
1010,Will,Lopez,Will Lopez,Engineering,Software Engineer,125674,2024,2022-02-28,Seattle,Full-time
1011,Henry,Smith,Henry Smith,Engineering,Software Engineer,115053,2022,2022-06-16,New York,Full-time
1011,Henry,Smith,Henry Smith,Engineering,Software Engineer,110435,2023,2022-06-16,New York,Full-time
1011,Henry,Smith,Henry Smith,Engineering,Software Engineer,122731,2024,2022-06-16,New York,Full-time
1012,Fiona,Garcia,Fiona Garcia,Engineering,Software Engineer,106580,2021,2021-02-25,Remote,Full-time
1012,Fiona,Garcia,Fiona Garcia,Engineering,Software Engineer,108039,2022,2021-02-25,Remote,Full-time
1012,Fiona,Garcia,Fiona Garcia,Engineering,Software Engineer,121589,2023,2021-02-25,Remote,Full-time
1012,Fiona,Garcia,Fiona Garcia,Engineering,Software Engineer,121607,2024,2021-02-25,Remote,Full-time
1013,Uri,Hall,Uri Hall,Engineering,Software Engineer,118914,2021,2019-12-10,Chicago,Full-time
1013,Uri,Hall,Uri Hall,Engineering,Software Engineer,112676,2022,2019-12-10,Chicago,Full-time
1013,Uri,Hall,Uri Hall,Engineering,Software Engineer,130879,2023,2019-12-10,Chicago,Full-time
1013,Uri,Hall,Uri Hall,Engineering,Software Engineer,124049,2024,2019-12-10,Chicago,Full-time
1014,Ethan,Rivera,Ethan Rivera,Engineering,Software Engineer,112168,2021,2018-04-03,New York,Full-time
1014,Ethan,Rivera,Ethan Rivera,Engineering,Software Engineer,129304,2022,2018-04-03,New York,Full-time
1014,Ethan,Rivera,Ethan Rivera,Engineering,Software Engineer,139144,2023,2018-04-03,New York,Full-time
1014,Ethan,Rivera,Ethan Rivera,Engineering,Software Engineer,149875,2024,2018-04-03,New York,Full-time
1015,Elena,Clark,Elena Clark,Engineering,Software Engineer,115515,2021,2019-02-04,Seattle,Full-time
1015,Elena,Clark,Elena Clark,Engineering,Software Engineer,120807,2022,2019-02-04,Seattle,Full-time
1015,Elena,Clark,Elena Clark,Engineering,Software Engineer,140494,2023,2019-02-04,Seattle,Full-time
1015,Elena,Clark,Elena Clark,Engineering,Software Engineer,131633,2024,2019-02-04,Seattle,Full-time
1016,Priya,Gonzalez,Priya Gonzalez,Engineering,Senior Software Engineer,153077,2021,2019-09-15,San Francisco,Full-time
1016,Priya,Gonzalez,Priya Gonzalez,Engineering,Senior Software Engineer,162051,2022,2019-09-15,San Francisco,Full-time
1016,Priya,Gonzalez,Priya Gonzalez,Engineering,Senior Software Engineer,200546,2023,2019-09-15,San Francisco,Full-time
1016,Priya,Gonzalez,Priya Gonzalez,Engineering,Senior Software Engineer,174573,2024,2019-09-15,San Francisco,Full-time
1017,Iris,Smith,Iris Smith,Engineering,Senior Software Engineer,179195,2021,2018-04-06,Chicago,Full-time
1017,Iris,Smith,Iris Smith,Engineering,Senior Software Engineer,178245,2022,2018-04-06,Chicago,Full-time
1017,Iris,Smith,Iris Smith,Engineering,Senior Software Engineer,162072,2023,2018-04-06,Chicago,Full-time
1017,Iris,Smith,Iris Smith,Engineering,Senior Software Engineer,234432,2024,2018-04-06,Chicago,Full-time
1018,Sam,Ramirez,Sam Ramirez,Engineering,Senior Software Engineer,134895,2022,2022-11-23,Chicago,Full-time
1018,Sam,Ramirez,Sam Ramirez,Engineering,Senior Software Engineer,154319,2023,2022-11-23,Chicago,Full-time
1018,Sam,Ramirez,Sam Ramirez,Engineering,Senior Software Engineer,146824,2024,2022-11-23,Chicago,Full-time
1019,Leo,Walker,Leo Walker,Engineering,Staff Engineer,167503,2022,2022-09-06,New York,Contract
1019,Leo,Walker,Leo Walker,Engineering,Staff Engineer,195664,2023,2022-09-06,New York,Contract
1019,Leo,Walker,Leo Walker,Engineering,Staff Engineer,179281,2024,2022-09-06,New York,Contract
1020,Kate,Thomas,Kate Thomas,Engineering,Staff Engineer,181428,2022,2022-10-02,Remote,Full-time
1020,Kate,Thomas,Kate Thomas,Engineering,Staff Engineer,204589,2023,2022-10-02,Remote,Full-time
1020,Kate,Thomas,Kate Thomas,Engineering,Staff Engineer,201332,2024,2022-10-02,Remote,Full-time
1021,Priya,Taylor,Priya Taylor,Engineering,Staff Engineer,193515,2021,2021-03-22,Seattle,Full-time
1021,Priya,Taylor,Priya Taylor,Engineering,Staff Engineer,173713,2022,2021-03-22,Seattle,Full-time
1021,Priya,Taylor,Priya Taylor,Engineering,Staff Engineer,203445,2023,2021-03-22,Seattle,Full-time
1021,Priya,Taylor,Priya Taylor,Engineering,Staff Engineer,199366,2024,2021-03-22,Seattle,Full-time
1022,Quinn,Rodriguez,Quinn Rodriguez,Engineering,Principal Engineer,236863,2021,2020-02-08,Austin,Full-time
1022,Quinn,Rodriguez,Quinn Rodriguez,Engineering,Principal Engineer,248353,2022,2020-02-08,Austin,Full-time
1022,Quinn,Rodriguez,Quinn Rodriguez,Engineering,Principal Engineer,277484,2023,2020-02-08,Austin,Full-time
1022,Quinn,Rodriguez,Quinn Rodriguez,Engineering,Principal Engineer,256463,2024,2020-02-08,Austin,Full-time
1023,Tina,Nelson,Tina Nelson,Engineering,Principal Engineer,242706,2021,2018-03-09,New York,Full-time
1023,Tina,Nelson,Tina Nelson,Engineering,Principal Engineer,240103,2022,2018-03-09,New York,Full-time
1023,Tina,Nelson,Tina Nelson,Engineering,Principal Engineer,279596,2023,2018-03-09,New York,Full-time
1023,Tina,Nelson,Tina Nelson,Engineering,Principal Engineer,326600,2024,2018-03-09,New York,Full-time
1024,Quinn,Brown,Quinn Brown,Engineering,Principal Engineer,227880,2021,2018-11-14,Boston,Full-time
1024,Quinn,Brown,Quinn Brown,Engineering,Principal Engineer,270528,2022,2018-11-14,Boston,Full-time
1024,Quinn,Brown,Quinn Brown,Engineering,Principal Engineer,255264,2023,2018-11-14,Boston,Full-time
1024,Quinn,Brown,Quinn Brown,Engineering,Principal Engineer,316786,2024,2018-11-14,Boston,Full-time
1025,Hannah,Jones,Hannah Jones,Engineering,Principal Engineer,223698,2021,2019-09-02,Boston,Full-time
1025,Hannah,Jones,Hannah Jones,Engineering,Principal Engineer,229469,2022,2019-09-02,Boston,Full-time
1025,Hannah,Jones,Hannah Jones,Engineering,Principal Engineer,302609,2023,2019-09-02,Boston,Full-time
1025,Hannah,Jones,Hannah Jones,Engineering,Principal Engineer,328546,2024,2019-09-02,Boston,Full-time
1026,Nina,Baker,Nina Baker,Engineering,Principal Engineer,242632,2021,2019-11-04,Austin,Contract
1026,Nina,Baker,Nina Baker,Engineering,Principal Engineer,238531,2022,2019-11-04,Austin,Contract
1026,Nina,Baker,Nina Baker,Engineering,Principal Engineer,308215,2023,2019-11-04,Austin,Contract
1026,Nina,Baker,Nina Baker,Engineering,Principal Engineer,332073,2024,2019-11-04,Austin,Contract
1027,Amelia,Johnson,Amelia Johnson,Engineering,Principal Engineer,262798,2021,2019-12-11,Boston,Full-time
1027,Amelia,Johnson,Amelia Johnson,Engineering,Principal Engineer,250783,2022,2019-12-11,Boston,Full-time
1027,Amelia,Johnson,Amelia Johnson,Engineering,Principal Engineer,258585,2023,2019-12-11,Boston,Full-time
1027,Amelia,Johnson,Amelia Johnson,Engineering,Principal Engineer,327008,2024,2019-12-11,Boston,Full-time
1028,Omar,Gonzalez,Omar Gonzalez,Engineering,Principal Engineer,220921,2021,2021-06-10,Boston,Full-time
1028,Omar,Gonzalez,Omar Gonzalez,Engineering,Principal Engineer,215130,2022,2021-06-10,Boston,Full-time
1028,Omar,Gonzalez,Omar Gonzalez,Engineering,Principal Engineer,241040,2023,2021-06-10,Boston,Full-time
1028,Omar,Gonzalez,Omar Gonzalez,Engineering,Principal Engineer,246690,2024,2021-06-10,Boston,Full-time
1029,Iris,Perez,Iris Perez,Engineering,Engineering Manager,225598,2021,2018-02-09,San Francisco,Contract
1029,Iris,Perez,Iris Perez,Engineering,Engineering Manager,214106,2022,2018-02-09,San Francisco,Contract
1029,Iris,Perez,Iris Perez,Engineering,Engineering Manager,250763,2023,2018-02-09,San Francisco,Contract
1029,Iris,Perez,Iris Perez,Engineering,Engineering Manager,268745,2024,2018-02-09,San Francisco,Contract
1030,Yara,Torres,Yara Torres,Engineering,Engineering Manager,216932,2021,2019-05-02,Seattle,Full-time
1030,Yara,Torres,Yara Torres,Engineering,Engineering Manager,232378,2022,2019-05-02,Seattle,Full-time
1030,Yara,Torres,Yara Torres,Engineering,Engineering Manager,252860,2023,2019-05-02,Seattle,Full-time
1030,Yara,Torres,Yara Torres,Engineering,Engineering Manager,218655,2024,2019-05-02,Seattle,Full-time
1031,Qian,Perez,Qian Perez,Engineering,Engineering Manager,181311,2022,2022-06-22,Boston,Full-time
1031,Qian,Perez,Qian Perez,Engineering,Engineering Manager,193735,2023,2022-06-22,Boston,Full-time
1031,Qian,Perez,Qian Perez,Engineering,Engineering Manager,199751,2024,2022-06-22,Boston,Full-time
1032,Ivan,Gonzalez,Ivan Gonzalez,Engineering,Engineering Manager,181335,2021,2021-11-13,Seattle,Full-time
1032,Ivan,Gonzalez,Ivan Gonzalez,Engineering,Engineering Manager,179984,2022,2021-11-13,Seattle,Full-time
1032,Ivan,Gonzalez,Ivan Gonzalez,Engineering,Engineering Manager,202977,2023,2021-11-13,Seattle,Full-time
1032,Ivan,Gonzalez,Ivan Gonzalez,Engineering,Engineering Manager,230906,2024,2021-11-13,Seattle,Full-time
1033,David,Lewis,David Lewis,Engineering,Engineering Manager,205713,2021,2021-11-07,Remote,Full-time
1033,David,Lewis,David Lewis,Engineering,Engineering Manager,207574,2022,2021-11-07,Remote,Full-time
1033,David,Lewis,David Lewis,Engineering,Engineering Manager,212355,2023,2021-11-07,Remote,Full-time
1033,David,Lewis,David Lewis,Engineering,Engineering Manager,207390,2024,2021-11-07,Remote,Full-time
